NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,주소,경도,위도
1,서울특별시 강서구 마곡동,1181,1181,0,마곡청구아파트,84.92,201312,31,"29,500",3,1998,양천로26길 103,서울특별시 강서구 마곡동 1181,126.821419397243,37.5729528003044
2,서울특별시 강서구 화곡동,840-6,840,6,그라비스,79.26,201312,31,"27,000",6,2007,강서로10길 193,서울특별시 강서구 화곡동 840-6,126.858644414182,37.5314468080852
3,서울특별시 강서구 화곡동,392-57,392,57,블루힐,23.5,201312,31,"10,000",5,2005,강서로12길 45,서울특별시 강서구 화곡동 392-57,126.849451528834,37.5322046311234
4,서울특별시 강서구 내발산동,753,753,0,마곡수명산파크4단지,59.84,201312,31,"32,200",12,2008,수명로1길 16,서울특별시 강서구 내발산동 753,126.823351155728,37.5512348671569
5,서울특별시 강서구 염창동,292,292,0,동아,59.97,201312,31,"27,000",14,1998,양천로69길 58,서울특별시 강서구 염창동 292,126.873119215493,37.5548515573392
6,서울특별시 강서구 화곡동,919-1,919,1,유림노르웨이숲(919-1),76.23,201312,31,"25,000",13,2004,곰달래로 96,서울특별시 강서구 화곡동 919-1,126.843935091187,37.5301648129326
7,서울특별시 강서구 화곡동,1145,1145,0,우장산롯데캐슬,85.0,201312,31,"49,400",7,2003,공항대로 382,서울특별시 강서구 화곡동 1145,126.848318501804,37.5556368030986
8,서울특별시 강서구 화곡동,1145,1145,0,우장산롯데캐슬,85.0,201312,31,"46,000",4,2003,공항대로 382,서울특별시 강서구 화곡동 1145,126.848318501804,37.5556368030986
9,서울특별시 강서구 내발산동,734,734,0,우장산월드메르디앙,84.4476,201312,31,"40,000",9,2005,우장산로 8,서울특별시 강서구 내발산동 734,126.83823382591,37.5543841861533
10,서울특별시 강서구 내발산동,721-3,721,3,수산오성,82.04,201312,31,"31,500",2,2002,강서로45나길 15,서울특별시 강서구 내발산동 721-3,126.835137375039,37.5487154235086
11,서울특별시 강서구 화곡동,1159,1159,0,"우장산아이파크,이편한세상",59.98,201312,31,"42,000",12,2008,강서로 266,서울특별시 강서구 화곡동 1159,126.838765589968,37.5493547358614
12,서울특별시 강서구 등촌동,637-22,637,22,대림아르빌아파트,84.6,201312,31,"32,000",4,2002,양천로62길 46,서울특별시 강서구 등촌동 637-22,126.859345241838,37.5559300330624
