,토지등 소유자 수,정비구역면적(㎡),건축연면적(㎡),택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,임대세대총수,분양세대규모별분포,임대세대규모별분포
토지등 소유자 수,1.0,0.5409873318838108,0.5672908889975254,0.5221292078097425,0.29722816073188063,0.4445103407983577,0.08092776256529448,0.12124848529721347,0.11600614815340397,0.03370903462774389,0.2251379394085001,0.22206007547802753,0.5643470903253649,0.5060788140861505,0.5643470903253649,0.5060788140861505
정비구역면적(㎡),0.5409873318838108,1.0,0.6039100451872905,0.8862568165561631,0.8035780868488057,0.6681055493398734,0.44741169229510885,0.119012796373273,0.10777950461682213,-0.005445740864140619,0.24095120316119822,0.19140837892991816,0.7738696543285959,0.60028801883098,0.7738696543285959,0.60028801883098
건축연면적(㎡),0.5672908889975254,0.6039100451872905,1.0,0.6384670830976982,0.3484645439196145,0.4905206191515373,0.18951692756247598,0.31706948624260334,0.3969697258533031,0.05764722543297099,0.5204614262352455,0.5092009983450956,0.7527905633445316,0.6045495082292198,0.7527905633445316,0.6045495082292198
택지면적(㎡),0.5221292078097425,0.8862568165561631,0.6384670830976982,1.0,0.7868757079349737,0.6906601710026564,0.4139364597074244,0.1552183588059322,0.1329536076381641,-0.028775436108835692,0.24719407213327468,0.22560701650611562,0.7983528155067109,0.5641661464284835,0.7983528155067109,0.5641661464284835
도로면적(㎡),0.29722816073188063,0.8035780868488057,0.3484645439196145,0.7868757079349737,1.0,0.44530693243176295,0.5430061269404916,0.07275097386481226,0.06783762206839708,-0.025417859392761026,0.14428070744239194,0.07410801323102184,0.5884486482903623,0.3476135466757825,0.5884486482903623,0.3476135466757825
공원면적(㎡),0.4445103407983577,0.6681055493398734,0.4905206191515373,0.6906601710026564,0.44530693243176295,1.0,0.24762851768683922,0.06880372009980128,0.09025257711085606,0.04213775373141747,0.08690868819720944,0.07767217080781226,0.5703476341911545,0.395061635808604,0.5703476341911545,0.395061635808604
녹지면적(㎡),0.08092776256529448,0.44741169229510885,0.18951692756247598,0.4139364597074244,0.5430061269404916,0.24762851768683922,1.0,-0.03160134293090756,-0.010458619044074599,0.05634011147967675,0.0026122925426057112,0.029077267101413215,0.26170975286420384,0.11192384770905811,0.26170975286420384,0.11192384770905811
건폐율,0.12124848529721347,0.119012796373273,0.31706948624260334,0.1552183588059322,0.07275097386481226,0.06880372009980128,-0.03160134293090756,1.0,0.7457986341210139,0.11924125260659474,0.7053836776912747,0.6788486422124103,0.2359543847563813,0.16364169271556725,0.2359543847563813,0.16364169271556725
용적률,0.11600614815340397,0.10777950461682213,0.3969697258533031,0.1329536076381641,0.06783762206839708,0.09025257711085606,-0.010458619044074599,0.7457986341210139,1.0,0.16555755136279826,0.7626498333954689,0.7092677057279652,0.2993424712179264,0.28110209834956523,0.2993424712179264,0.28110209834956523
높이(m),0.03370903462774389,-0.005445740864140619,0.05764722543297099,-0.028775436108835692,-0.025417859392761026,0.04213775373141747,0.05634011147967675,0.11924125260659474,0.16555755136279826,1.0,0.08814567080088993,0.1675492850564977,0.019551668710811126,-0.01862384320752737,0.019551668710811126,-0.01862384320752737
지상층수,0.2251379394085001,0.24095120316119822,0.5204614262352455,0.24719407213327468,0.14428070744239194,0.08690868819720944,0.0026122925426057112,0.7053836776912747,0.7626498333954689,0.08814567080088993,1.0,0.8666638494663368,0.4372174881631858,0.47224145629004555,0.4372174881631858,0.47224145629004555
지하층수,0.22206007547802753,0.19140837892991816,0.5092009983450956,0.22560701650611562,0.07410801323102184,0.07767217080781226,0.029077267101413215,0.6788486422124103,0.7092677057279652,0.1675492850564977,0.8666638494663368,1.0,0.3973408546063385,0.39715042495882147,0.3973408546063385,0.39715042495882147
분양세대총수,0.5643470903253649,0.7738696543285959,0.7527905633445316,0.7983528155067109,0.5884486482903623,0.5703476341911545,0.26170975286420384,0.2359543847563813,0.2993424712179264,0.019551668710811126,0.4372174881631858,0.3973408546063385,1.0,0.803980420108899,1.0,0.803980420108899
임대세대총수,0.5060788140861505,0.60028801883098,0.6045495082292198,0.5641661464284835,0.3476135466757825,0.395061635808604,0.11192384770905811,0.16364169271556725,0.28110209834956523,-0.01862384320752737,0.47224145629004555,0.39715042495882147,0.803980420108899,1.0,0.803980420108899,1.0
분양세대규모별분포,0.5643470903253649,0.7738696543285959,0.7527905633445316,0.7983528155067109,0.5884486482903623,0.5703476341911545,0.26170975286420384,0.2359543847563813,0.2993424712179264,0.019551668710811126,0.4372174881631858,0.3973408546063385,1.0,0.803980420108899,1.0,0.803980420108899
임대세대규모별분포,0.5060788140861505,0.60028801883098,0.6045495082292198,0.5641661464284835,0.3476135466757825,0.395061635808604,0.11192384770905811,0.16364169271556725,0.28110209834956523,-0.01862384320752737,0.47224145629004555,0.39715042495882147,0.803980420108899,1.0,0.803980420108899,1.0
