사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11440-100003003,마포구,아현동,재개발(도시정비형),조합,마포로3구역제3지구 도시환경정비사업조합,아현동 613-10,관리처분인가,운영,147,마포로3구역 제3지구 도시환경정비구역,마포구 아현동 613-10,6217.32,40744.88,준주거지역,방화지구 중심미관지구(일부),6217.32,847.53,,369.5,,,2117.03,공동주택/판매시설,52.52,516.35,63.0,20.0,4.0,239,88.0,151.0,,0,,,,
11560-100004012,영등포구,영등포동,재개발(도시정비형),조합,영등포1-2재정비촉진구역 도시환경정비사업 조합,영등포동7가 76-5,조합설립인가,운영,17,영등포1의2재정비촉진구역 도시환경정비사업,영등포구 영등포동7가 76-5번지,5392.0,,일반상업지역 준주거지역,중심지미관지구,3930.4,1461.6,0.0,0.0,0.0,0.0,0.0,판매근린생활업무주거,52.0,610.0,120.0,34.0,6.0,149,149.0,,,69,,31.0,38.0,사업시행인가 전
11560-100004033,영등포구,양평동,재개발(도시정비형),추진위원회,67. 양평제10구역 도시환경정비사업 조합설립추진위원회,양평동1가 9-6,조합설립추진위원회승인,운영,81,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11560-100004014,영등포구,영등포동,재개발(도시정비형),조합청산,영등포1-4재정비촉진구역 도시환경정비사업조합,영등포동7가 145-8,조합청산,운영,397,영등포1-4구역 도시환경정비사업,영등포구 영등포동7가 145-8,58131.8,,,,38581.0,14045.8,2959.0,0.0,2546.0,0.0,0.0,"근린생활,업무,주거",52.0,3.7,210.0,35.0,3.0,0,,,,0,,,,
11590-900000614,동작구,신대방동,재개발(도시정비형),조합,신대방역세권 재개발정비사업조합,신대방동 600-14,조합설립인가,운영,587,신대방역세권 도시정비형 재개발정비사업,동작구 신대방동 600-14,587.47,222935.61,준주거지역 3종일반주거지역,,44480.0,6253.0,3110.0,,12940.0,,493.0,공동주택/판매시설/근린생활시설,30.62,333.97,100.0,30.0,6.0,1024,550.0,394.0,80.0,140,20.0,30.0,90.0,2015년 정비도서 기준으로 실 사업 시 변경될 수 있음
11560-900001136,영등포구,신길동,재개발(도시정비형),추진위원회,신길16의9구역 가로주택정비사업,신길동 355-310,조합설립추진위원회승인,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11230-100008000,동대문구,전농동,재개발(도시정비형),조합,전농도시환경정비사업조합,전농동 494,조합설립인가,운영,239,전농 재정비촉진구역,동대문구 전농동 494번지,28202.4,224172.21,제2종일반주거지역(7층이하) 제3종일반주거지역,일반상업지구,19166.7,5659.7,2670.8,705.2,,,,공동주택판매시설,48.66,736.26,165.0,49.0,8.0,1104,306.0,636.0,162.0,190,33.0,49.0,108.0,
11740-900000035,강동구,천호동,재개발(도시정비형),조합,천호1 도시환경정비사업조합,천호동 423-200,준공인가,운영,173,천호1구역 도시환경정비사업,강동구 천호동 423-200 ,38508.2,252072.18,일반상업지역 준주거지역 제3종일반주거지역,,37007.35,3187.0,183.65,,,,,공동주택 판매/업무시설 문화및 복지시설,42.17,484.19,135.0,40.0,5.0,999,303.0,106.0,590.0,105,,53.0,52.0,
11410-900000107,서대문구,남가좌동,재개발(도시정비형),조합,가재울8 재정비촉진구역 재개발정비사업조합,남가좌동 289-54,착공신고,운영,210,가재울8재정비촉진구역 재개발정비사업,서대문구 남가좌동 289-54번지 일대,13180.0,59388.93,준주거지역 재개발정비사업구역,재정비촉진지구,9824.0,3356.0,0.0,0.0,0.0,0.0,0.0,공동주택,58.85,399.74,83.0,27.0,3.0,283,166.0,117.0,,46,,,46.0,
11170-100003003,용산구,동자동,재개발(도시정비형),조합청산,동자동 제4구역 도시환경정비사업조합,동자동 36-17,조합청산,운영,72,동자동제도시환경정비4구역,용산구 동자동 36-17,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11380-900001091,은평구,불광동,재개발(도시정비형),공공지원자,독바위 장기전세주택 건립,불광동 227-7,정비구역지정,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11110-900000975,종로구,창신동,재개발(도시정비형),조합,창신 1-6구역 도시정비형 재개발사업,창신동 459-12,조합설립인가,운영,17,창신 1-6구역 도시정비형 재개발사업,종로구 창신동 459-12,3999.7,30138.93,일반상업지역,방화지구,,,,,,,,오피스텔 근린생활시설,59.64,834.97,78250.0,25.0,6.0,216,,,216.0,0,,,,
11215-100002014,광진구,자양동,재개발(도시정비형),조합,자양4재정비촉진구역 도시환경정비사업조합,자양동 778-6,조합해산,운영,98,자양4재정비촉진구역도시환경정비사업조합,광진구 자양동778-6번,1081.64,,,,1081.64,1566.0,935.0,,,,,주거,60.0,438.0,100.0,,,145,,,145.0,16,,,16.0,
11560-900001098,영등포구,신길동,재개발(도시정비형),공공지원자,신길6역세권 장기전세주택 사업(도시정비형 재개발),신길동 1448-1,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11560-100004035,영등포구,양평동,재개발(도시정비형),조합,70. 양평제13구역 도시환경정비사업조합,양평동2가 33-20,사업시행인가,운영,126,양평제13구역 도시정비형 재개발사업(공공재개발사업),영등포구 양평동2가 33-20번지,27441.7,,준공업지역,,16512.0,1778.2,,,1250.0,,7901.5,공동주택,,,,32.0,2.0,203,40.0,163.0,,170,79.0,19.0,72.0,
11170-900000049,용산구,한강로2가,재개발(도시정비형),조합,국제빌딩주변 제5구역 도시환경정비사업조합,한강로2가 210-1,일반분양승인,운영,41,국제빌딩주변 제5구역 도시정비형 재개발사업,용산구 한강로2가 210-1번지,6106.4,53676.47,도시지역 일반상업지역,지구단위계획구역 (대공방어협조구역<위탁고도 : 77-257m>) 도시환경정비구역 과밀억제권역 상대정화구역 한강폐기물매립시설설치제한지역 부설주차장설치제한지역,3610.2,410.2,1674.1,411.9,,,,공동주택,43.28,891.12,150.0,39.0,8.0,110,,44.0,66.0,0,,,,
