사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11440-100005000,마포구,아현동,재개발(주택정비형),조합,아현3구역 주택재개발정비사업 조합(뉴타운),아현동 635,조합해산,운영,0,아현 제3구역 주택재개발정비사업,마포구 아현동 635번지,207508.3,5824773.86,제2종 일반주거지역,주택재개발구역,146506.7,254019.0,1335.71,52416.51,3184.3,3197.6,361.3,"공동주택,근생 및 사회복지시설,종교시설,정비기반시설등",22.63,259.42,95.0,30.0,4.0,3209,1239.0,1455.0,515.0,658,327.0,331.0,,
11440-100005004,마포구,염리동,재개발(주택정비형),조합,염리제3구역주택재개발정비사업조합(뉴타운),염리동 507,조합해산,운영,1105,염리제3 주택재개발정비사업,마포구 염리동 507번지 일원,87952.2,878.4,제2종 일반주거지역,,63954.7,13579.7,5014.4,,2713.2,,2690.2,공동주택,20.16,250.28,77.0,27.0,3.0,1386,606.0,762.0,18.0,285,122.0,115.0,48.0,
11560-100003008,영등포구,신길동,재개발(주택정비형),조합,신길5재정비촉진구역 주택재개발정비사업조합,신길동 1583-1,조합해산,운영,567,신길5재정비촉진구역,영등포구 신길동 1583-1번지,76602.0,233508.68,제2종일반주거지역,재정비촉진지구,62866.2,6622.9,3606.1,2844.5,,,662.3,아파트 및 부대복리시설,19.49,264.1,94.0,29.0,2.0,1260,364.0,789.0,107.0,286,132.0,119.0,35.0,
11110-100002000,종로구,신영동,재개발(주택정비형),조합,신영제1구역 주택재개발정비사업조합,신영동 158-2,철거신고,운영,56,신영제1구역 주택재개발정비사업,종로구 신영동 158-2번지,15589.3,35566.19,제2종일반주거지역,자연경관지구,13252.6,1601.1,,,,,735.6,공동주택,37.06,151.5,22.0,7.0,3.0,199,41.0,123.0,35.0,0,,,,
11140-100002003,중구,신당동,재개발(주택정비형),조합,신당제11주택재개발정비사업조합,신당동 85,조합해산,운영,92,신당제11구역주택재개발정비사업조합,신당5동 85번지 ,8224.8,24058.75,제2종일반주거지역,제2종 일반주거지역,6577.0,929.8,364.0,,0.0,,,공동주택,28.13,244.76,58.0,16.0,3.0,176,75.0,101.0,,0,,,,
11140-100002004,중구,만리동,재개발(주택정비형),조합,만리제2주택재개발정비사업조합,만리동2가 176-1,조합해산,운영,861,만리제2주택재개발정비구역,중구 만리동2가 176-1,67199.3,192785.18,제1종일반주거지역/제2종일반주거지역,제3종일반주거지역/일반상업지역중심지미관지구,55172.3,3412.6,7804.6,0.0,,,809.8,공동주택 및 부대복리시설,19.61,234.27,,25.0,5.0,1113,413.0,681.0,19.0,228,149.0,79.0,,
11140-100002005,중구,신당동,재개발(주택정비형),조합,신당제8구역 재개발정비사업조합,신당동 321-1,관리처분인가,운영,544,신당제8구역주택재개발 정비사업,중구 신당동 321번지 일대,58651.3,189092.58,2종일반주거지역,,45184.0,7992.0,3699.3,,,470.0,1306.0,공동주택(아파트)/및 부대복리시설,17.68,244.17,84.0,28.0,4.0,1030,513.0,449.0,68.0,183,90.0,80.0,13.0,
11710-100002007,송파구,거여동,재개발(주택정비형),조합,거여2재정비촉진구역제2지구 주택재개발정비사업조합,거여동 234,조합해산,운영,670,거여2-2지구,송파구 거여동 234-0,61850.1,179787.07,3종일반주거지역,재정비촉진지구,43359.3,11781.6,5470.0,436.7,18490.8,,802.5,공동주택(아파트)및 부대복리시설,30.0,277.1,94.0,33.0,4.0,972,305.0,544.0,123.0,227,110.0,94.0,23.0,
11230-100003002,동대문구,청량리동,재개발(주택정비형),조합,청량리제6구역주택재개발정비사업조합,청량리동 205,사업시행인가,운영,688,청량리제6주택재개발정비구역,동대문구 청량리동 205번지 일대,83883.1,227419.52,제2종일반주거지역(12층이하),,63056.3,14800.8,4200.0,,,,700.0,공동주택 및 부대복리시설,25.0,234.0,72.0,16.0,,1242,543.0,612.0,87.0,255,78.0,,177.0,
11230-100003005,동대문구,답십리동,재개발(주택정비형),조합,답십리제14구역주택재개발정비사업조합,답십리동 25,조합해산,운영,405,답십리제14주택재개발구역,동대문구 답십리동 25-0,32729.7,98513.32,도시지역,제2종일반주거지역,27367.7,3253.0,,2109.0,,,,아파트,20.92,245.92,60.0,20.0,2.0,662,516.0,146.0,,140,60.0,60.0,20.0,
11230-100003010,동대문구,용두동,재개발(주택정비형),조합,용두제6구역 주택재개발정비사업조합,용두동 753-9,조합해산,운영,470,용두제6구역 주택재개발정비사업조합,동대문구 용두동 753-9번지 ,53371.0,150487.26,제2종일반주거지역,일반미관지구(무학로변),43409.0,7177.0,1865.0,920.0,,,,아파트및부대복리시설,23.58,226.3,65.0,21.0,2.0,869,342.0,522.0,5.0,179,84.0,77.0,18.0,"정비(구역)계획 변경 고시문(2014.11.27)에 건축면적,동수 내용없음"
11230-100006039,동대문구,휘경동,재개발(주택정비형),조합,휘경2재정비촉진구역 주택재개발정비사업조합,휘경동 128-12,조합해산,운영,442,휘경2재정비촉진구역,동대문구 휘경동 128-12번지 일대,43329.0,133637.18,제3종일반주거지역,일반미관지구,28587.0,6921.0,3402.0,3438.0,,,,공동주택,21.17,299.67,112.0,29.0,3.0,726,324.0,348.0,54.0,174,70.0,61.0,43.0,
11230-100006043,동대문구,이문동,재개발(주택정비형),조합,이문1재정비촉진구역 주택재개발정비사업조합,이문동 257-42,일반분양승인,운영,1759,이문1재정비촉진구역,동대문구 이문동 257-42번지,144856.0,458412.65,제2종 및 제3종 일반주거지역 일반상업지역,재정비촉진지구,115829.0,17621.0,9228.0,0.0,0.0,0.0,2178.0,공동주택,30.0,247.6,75.0,27.0,5.0,2528,1235.0,1185.0,108.0,541,236.0,249.0,56.0,
11230-100006045,동대문구,휘경동,재개발(주택정비형),조합,휘경3재정비촉진구역 주택재개발정비사업조합,휘경동 172,일반분양승인,운영,603,휘경3재정비촉진구역 주택재개발정비사업조합,동대문구 휘경동 172번지,65338.0,195963.42,제3종일반주거지역,재정비촉진지구,41652.0,9316.0,3195.0,6310.0,1480.0,,3385.0,공동주택 및 부대복리시설,18.45,29.96,118.0,35.0,3.0,1785,397.0,1387.0,1.0,314,87.0,70.0,157.0,
11230-100007000,동대문구,전농동,재개발(주택정비형),조합,전농8구역주택재개발정비사업조합,전농동 204,조합설립인가,운영,633,전농8구역주택재개발정비사업조합,동대문구 전농동 204번지,93697.0,289080.73,전농답십리뉴타운 개발구역,,72231.5,10884.0,6830.1,0.0,,0.0,3743.4,주택재개발사업,25.45,249.99,130.0,32.0,4.0,1398,611.0,660.0,127.0,352,77.0,106.0,169.0,
11230-100007004,동대문구,전농동,재개발(주택정비형),조합,전농제7구역 주택재개발정비사업조합,전농동 449-9,조합해산,운영,1495,전농제7구역주택재개발정비사업조합,동대문구 전농동 449-9,151859.05,369840.48,제2종일반주거지역,재정비촉진지구,108642.5,17679.9,5282.7,2125.9,0.0,1162.0,16899.3,공동주택,22.57,238.26,63.0,22.0,3.0,1984,550.0,977.0,457.0,413,288.0,125.0,,
11230-900000092,동대문구,전농동,재개발(주택정비형),조합,전농제12구역 재개발정비사업조합,전농동 643,조합설립인가,운영,146,전농12주택재개발정비구역,동대문구 전농동 643번지,16237.0,53075.09,제3종일반주거지역,,13791.7,834.1,815.0,,,,796.2,공동주택,50.0,2.4,,,30.0,246,53.0,143.0,50.0,51,22.0,21.0,8.0,
11140-900000749,중구,신당동,재개발(주택정비형),조합,신당10구역주택재개발정비사업조합,신당동 236-100,조합설립인가,운영,0,신당제10구역주택재개발정비사업,중구 신당동 236-100,6389.34,230468.45,제2종제3종 일반주거지역 일반상업지역,,47795.1,9989.9,6108.4,,,,,공동주택 및 부대복리시설,28.1,299.8,175.0,35.0,3.0,1107,508.0,429.0,170.0,316,52.0,77.0,187.0,
11290-100001000,성북구,돈암동,재개발(주택정비형),조합청산,돈암?정릉구역 주택재개발정비사업 조합,돈암동 535-54,조합청산,운영,342,돈암정릉구역 주택재개발 정비사업,성북구 돈암동 535번지,30588.0,103248.48,주거지역,제2종일반주거지역,25549.0,194.5,,2933.0,,,,제2종일반주거지역,24.84,238.0,,,,61854,63.0,43429.0,18362.0,90,45.0,30.0,15.0,
11290-100003003,성북구,보문동,재개발(주택정비형),조합청산,보문제3구역 주택재개발정비사업조합,보문동6가 207,조합청산,운영,592,보문제3구역주택재개발정비사업조합`,보문동 6가 207번지,52245.8,1666541.09,일반주거지역,제2종,43150.8,3103.0,5091.0,,901.0,,,공동주택(아파트),21.36,237.46,,20.0,7.0,978,486.0,492.0,,208,100.0,87.0,21.0,
11620-900000626,관악구,신림동,재개발(주택정비형),조합,신림1재정비촉진구역 재개발정비사업조합,신림동 808-,조합설립인가,운영,1460,신림1재정비촉진구역 주택재개발정비사업,관악구 신림동 808-495,233729.0,394003.03,일반주거지역 준주거 자연녹지 등,,172404.0,33748.0,16178.0,787.0,,,10612.0,공동주택 등,60.0,230.0,,33.0,4.0,2465,386.0,1485.0,594.0,505,202.0,202.0,101.0,
11290-100007003,성북구,보문동,재개발(주택정비형),조합,보문제5구역 주택재개발정비사업조합,보문동1가 196-11,착공신고,운영,156,보문제5구역 주택재개발정비사업,성북구 보문동1가 196-11번지,10798.5,65273.1,준주거지역,,,,,,,,,아파트 및 판매시설,55.62,292.67,,26.0,5.0,186,,149.0,37.0,0,,,,
11290-100009002,성북구,삼선동,재개발(주택정비형),조합,삼선제5구역 주택재개발정비사업조합,삼선동2가 296,일반분양승인,운영,419,삼선제5주택재개발정비사업,성북구 삼선동2가 296번지 ,63918.5,174294.29,제2종일반주거지역,,48086.8,9861.1,3670.0,,,2300.6,49139.4,공동주택및복리시설,25.87,230.29,51.0,18.0,4.0,1015,731.0,284.0,,208,119.0,89.0,,
11350-900001017,노원구,상계동,재개발(주택정비형),공공지원자,상계5동 신속통합기획 주택재개발사업(추정분담금테스트),상계동 154-3,정비구역지정,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
