사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11560-100004012,영등포구,영등포동,재개발(도시정비형),조합,영등포1-2재정비촉진구역 도시환경정비사업 조합,영등포동7가 76-5,조합설립인가,운영,17,영등포1의2재정비촉진구역 도시환경정비사업,영등포구 영등포동7가 76-5번지,5392.0,,일반상업지역 준주거지역,중심지미관지구,3930.4,1461.6,0.0,0.0,0.0,0.0,0.0,판매근린생활업무주거,52.0,610.0,120.0,34.0,6.0,149,149.0,,,69,,31.0,38.0,사업시행인가 전
11560-100004033,영등포구,양평동,재개발(도시정비형),추진위원회,67. 양평제10구역 도시환경정비사업 조합설립추진위원회,양평동1가 9-6,조합설립추진위원회승인,운영,81,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11560-100004014,영등포구,영등포동,재개발(도시정비형),조합청산,영등포1-4재정비촉진구역 도시환경정비사업조합,영등포동7가 145-8,조합청산,운영,397,영등포1-4구역 도시환경정비사업,영등포구 영등포동7가 145-8,58131.8,,,,38581.0,14045.8,2959.0,0.0,2546.0,0.0,0.0,"근린생활,업무,주거",52.0,3.7,210.0,35.0,3.0,0,,,,0,,,,
11560-900001136,영등포구,신길동,재개발(도시정비형),추진위원회,신길16의9구역 가로주택정비사업,신길동 355-310,조합설립추진위원회승인,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11560-900001098,영등포구,신길동,재개발(도시정비형),공공지원자,신길6역세권 장기전세주택 사업(도시정비형 재개발),신길동 1448-1,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11560-100004035,영등포구,양평동,재개발(도시정비형),조합,70. 양평제13구역 도시환경정비사업조합,양평동2가 33-20,사업시행인가,운영,126,양평제13구역 도시정비형 재개발사업(공공재개발사업),영등포구 양평동2가 33-20번지,27441.7,,준공업지역,,16512.0,1778.2,,,1250.0,,7901.5,공동주택,,,,32.0,2.0,203,40.0,163.0,,170,79.0,19.0,72.0,
11560-100004034,영등포구,양평동,재개발(도시정비형),조합,69. 양평제12구역 도시환경정비사업조합,양평동1가 243-1,관리처분인가,운영,382,양평제12구영도시환경정비사업조합,영등포구 양평동1가 265-1,37561.8,97466.66,준공업지역,,,3673.8,2389.4,,,,,,19.32,279.05,,35.0,2.0,539,262.0,277.0,,168,42.0,42.0,84.0,
11560-900000555,영등포구,양평동,재개발(도시정비형),추진위원회,71. 양평제14구역 도시환경정비사업 조합설립추진위원회,양평동2가 29-6,조합설립추진위원회승인,운영,127,양평제14구역 도시환경정비사업 ,영등포구 선유서로 25길 5(양평동2가31-2),11082.1,,준공업지역,공동주택(아파트)및 부대복리시설 근린생활시설,,,,,,,,,,,,,,0,,,,0,,,,
11560-100004020,영등포구,영등포동,재개발(도시정비형),조합,영등포1-13재정비촉진구역 도시환경정비사업 조합,영등포동5가 32-8,관리처분인가,운영,202,영등포1의13구역 도시환경정비사업,영등포구 영등포동5가 32-8 ,27049.0,107377.58,준주거지역,,17200.0,2227.3,6315.0,0.0,0.0,0.0,0.0,주거,42.29,397.98,99.0,33.0,3.0,398,93.0,305.0,,261,,93.0,168.0,
11560-900000504,영등포구,문래동,재개발(도시정비형),조합,45. 문래동4가 도시환경정비구역 재개발정비사업조합,문래동4가 23-6,조합설립인가,운영,649,문래동4가 도시환경정비구역,문래동4가 23-6,94087.0,,준공업지역,일반 미관지구,62464.0,10128.0,20295.0,,,,1200.0,공동주택 산업시설,,,,,,915,277.0,524.0,114.0,199,,137.0,62.0,
