사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11170-100003003,용산구,동자동,재개발(도시정비형),조합청산,동자동 제4구역 도시환경정비사업조합,동자동 36-17,조합청산,운영,72,동자동제도시환경정비4구역,용산구 동자동 36-17,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11170-900000049,용산구,한강로2가,재개발(도시정비형),조합,국제빌딩주변 제5구역 도시환경정비사업조합,한강로2가 210-1,일반분양승인,운영,41,국제빌딩주변 제5구역 도시정비형 재개발사업,용산구 한강로2가 210-1번지,6106.4,53676.47,도시지역 일반상업지역,지구단위계획구역 (대공방어협조구역<위탁고도 : 77-257m>) 도시환경정비구역 과밀억제권역 상대정화구역 한강폐기물매립시설설치제한지역 부설주차장설치제한지역,3610.2,410.2,1674.1,411.9,,,,공동주택,43.28,891.12,150.0,39.0,8.0,110,,44.0,66.0,0,,,,
11170-100004002,용산구,한강로3가,재개발(도시정비형),조합,용산역전면 제2구역 도시환경정비사업조합,한강로3가 391,이전고시,운영,77,용산역전면 제2구역 도시환경정비사업조합,한강로2가 391,18956.8,15102.76,일반상업지역,도시환경정비구역,8754.9,892.55,3592.2,,,,7520.0,공동주택업무시설판매시설,49.98,991.37,1474.0,39.0,9.0,151,,,151.0,0,,,,
11170-900000172,용산구,한강로1가,재개발(도시정비형),조합,한강로구역 도시환경정비사업조합,한강로1가 158-,조합설립인가,운영,268,한강로도시환경정비사업,용산구 한강로1가 158 일대,41744.0,172156.25,일반상업지역준주거지역제1종일반주거지역제2종일반주거지역제3종일반주거지역,중심지미관지구방화지구,41744.0,1854.0,7400.5,,,,,공동주택 업무시설 판매시설 근린생활시설,22.64,448.01,119.0,38.0,5.0,476,204.0,202.0,70.0,0,,,,
11170-100004001,용산구,한강로2가,재개발(도시정비형),조합,용산역전면 제3구역 도시환경정비사업조합,한강로2가 342,이전고시,운영,98,용산역전면 제3구역,용산구 한강로2가 342번지,24788.0,,일반상업지역,중심지미관지구 / 특별계획구역,12019.9,10581.4,2186.7,,1395.73,,,공동주택업무판매,49.62,962.25,149.0,40.0,,194,,,194.0,0,,,,
11170-900000831,용산구,한강로3가,재개발(도시정비형),조합,정비창전면 제3구역 도시정비형 재개발 정비사업 조합,한강로3가 40-19,조합설립인가,운영,29,정비창전면 제3구역 도시정비형 재개발사업,용산구 한강로3가 40-19,5805.0,60904.79,일반상업지역,중심지미관지구 / 방화지구,5805.0,468.0,0.0,0.0,1000.0,0.0,0.0,공동주택 외,57.64,959.26,120.0,25.0,5.0,128,,108.0,20.0,0,,,,
11170-100004005,용산구,한강로3가,재개발(도시정비형),조합,국제빌딩주변 제4구역 도시환경정비사업조합,한강로3가 63-70,이전고시,운영,316,국제빌딩주변 제4구역 도시환경정비사업조합,용산구 한강로3가 63-70번지 ,53441.06,385429.61,일반상업지역,중심미관지구 방화지구,28718.08,6877.0,14508.6,2961.7,,,0.0,공동주택 비주거시설 종교시설,47.8,745.5,14255.0,40.0,7.0,409,,,409.0,84,,84.0,,임대주택(미포함)
11170-900000674,용산구,한강로2가,재개발(도시정비형),조합,신용산역북측 제2구역 도시환경정비사업조합,한강로2가 2-138,사업시행인가,운영,98,신용산역북측제2구역 도시정비형재개발정비사업조합,용산구 한강로2가 2-194호,22380.0,143501.77,일반상업지역 준주거지역 제3종일반주거지역 제2종일반주거지역,미관지구(중심지 미관지구),13956.0,8424.0,,,,,,업무시설 공동주택,60.0,1000.0,100.0,38.0,4.0,0,,,,0,,,,분양298세대임대26세대
11170-900000619,용산구,한강로2가,재개발(도시정비형),조합,신용산역북측 제1구역 도시환경정비사업조합,한강로2가 2-116,사업시행인가,운영,106,신용산역북측 제1구역 도시환경저비사업,용산구 한강로2가 2-116,13963.1,70111.45,일반상업지역 준주거지역 제3종일반주거지역 제2종 일반주거지역,미관지구 방화지구,9400.0,4469.0,,,,,188.0,업무시설,41.18,828.65,100.0,30.0,4.0,218,22.0,128.0,68.0,29,21.0,,8.0,
11170-900001255,용산구,효창동,재개발(도시정비형),공공지원자,효창동 역세권 장기전세주택 도시정비형 재개발사업,효창동 5-307,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11170-900001256,용산구,한강로3가,재개발(도시정비형),공공지원자,빗물펌프장구역 도시정비형 재개발사업,한강로3가 40-881,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11170-900001257,용산구,한강로1가,재개발(도시정비형),공공지원자,삼각맨션 부지 도시정비형 재개발사업,한강로1가 231-30,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11170-900000695,용산구,한강로3가,재개발(도시정비형),조합,정비창전면 제1구역 재개발 정비사업조합,한강로3가 40-641,조합설립인가,운영,467,정비창전면 제1구역 도시환경정비사업,용산구 한강로3가 40-641,71901.0,295581.83,제23종 일반주거 준주거지역 일반상업지역,-,41874.0,20238.0,3991.0,0.0,4597.0,0.0,1200.0,업무판매주거,59.13,800.0,120.0,35.0,4.0,678,43.0,404.0,231.0,99,,,99.0,
11170-900000709,용산구,한강로3가,재개발(도시정비형),추진위원회,용산역전면 제1-2구역 재개발사업 조합설립추진위원회,한강로3가 40-712,조합설립추진위원회승인,운영,9,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11170-900001252,용산구,청파동,재개발(도시정비형),공공지원자,청파동 역세권 장기전세주택 도시정비형 재개발사업,청파동1가 46,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11170-900001253,용산구,한강로3가,재개발(도시정비형),공공지원자,이촌역 역세권 장기전세주택 도시정비형 재개발사업,한강로3가 65-342,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11170-900001254,용산구,원효로1가,재개발(도시정비형),공공지원자,원효로1가 역세권 장기전세주택 도시정비형 재개발사업,원효로1가 82-1,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11170-900000972,용산구,갈월동,재개발(도시정비형),조합,남영동 업무지구 제2구역 도시정비형 재개발사업 조합,갈월동 92,조합설립인가,운영,99,남영동 업무지구 제2구역 도시정비형 재개발사업,용산구 갈월동 92-0,17658.8,178995.0,일반상업지역도시환경정비구역,철도보호지구,17658.8,200.2,,,2493.2,,,주거,59.5,859.0,120.0,34.0,6.0,456,89.0,254.0,113.0,109,29.0,24.0,56.0,부대시설 포함
