사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11305-100005001,강북구,미아동,재개발(주택정비형),조합,미아제11구역 재개발정비사업조합,미아동 791-108,조합설립인가,운영,412,미아제11구역 주택재개발정비사업,강북구 미아동 791-108,35891.0,106076.78,제2종 일반주거지역,,,4340.0,1935.0,,,,,공동주택 및 부대복리시설,26.95,242.3,,2.0,23.0,495,,,495.0,103,,,103.0,
11305-900001243,강북구,미아동,재개발(주택정비형),공공지원자,미아동 258번지 일대 주택정비형 재개발사업,미아동 258,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11305-900000028,강북구,미아동,재개발(주택정비형),조합,미아2재정비촉진구역 주택재개발정비사업 조합,미아동 403,조합설립인가,운영,1582,미아2재정비촉진구역,강북구 미아동 403번지,179566.0,392076.19,제1종 및 제2종 일반주거지역,,152479.0,14806.0,10137.0,,2144.0,23780.0,,아파트,15.95,229.59,99.0,,,2366,1024.0,1082.0,260.0,504,204.0,204.0,96.0,
11305-900001145,강북구,번동,재개발(주택정비형),공공지원자,번동 441-3번지 일대 주택재개발정비사업,번동 441-3,정비계획 수립,운영,521,번동 441-3번지 일대 주택재개발정비사업,강북구 번동 441-3,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11305-900000117,강북구,미아동,재개발(주택정비형),조합,미아3재정비촉진구역 주택재개발정비사업조합,미아동 439-,관리처분인가,운영,482,미아3재정비촉진구역 주택재개발정비사업조합,강북구 미아동 439번지 일대,57553.4,157885.93,제2종 제3종 일반주거지역,일반미관지구,42772.0,11433.4,3156.0,,,,192.0,아파트,25.1,229.06,9.0,29.0,3.0,858,471.0,384.0,3.0,179,68.0,77.0,34.0,
11305-900000027,강북구,미아동,재개발(주택정비형),조합,미아제3구역 주택재개발정비사업조합,미아동 791-364,착공신고,운영,690,미아 제3구역 주택재개발,강북구 미아동 791-364번지 ,59465.0,149658.84,제2종 일반주거지역,미관지구,4760.74,6604.1,3000.7,0.0,891.0,0.0,,공공주택 및 부대복리시설,60.0,227.7,73.0,21.0,3.0,843,355.0,425.0,63.0,174,72.0,72.0,30.0,세대수
11305-100005002,강북구,미아동,재개발(주택정비형),추진위원회,미아제16구역 주택재개발사업 조합설립추진위원회,미아동 6,조합설립추진위원회승인,일시중단,94,미아제16구역주택재개발정비사업조합설립추진위원회,"강북구송중동6,7,49번지",,,,,,,,,,,,,,,,,,0,,,,0,,,,
11305-900001075,강북구,수유동,재개발(주택정비형),공공지원자,수유동 170-1번지 일대 주택재개발정비사업,수유동 170-1,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11305-900001242,강북구,번동,재개발(주택정비형),공공지원자,번동 148번지 일대 주택정비형 재개발사업,번동 148,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11305-900001150,강북구,미아동,재개발(주택정비형),공공지원자,미아동 791-2882번지 일대 주택정비형 재개발사업,미아동 791-2882,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11305-100002000,강북구,미아동,재개발(주택정비형),조합,미아 제10-1구역 주택재개발정비사업조합,미아동 476,이전고시,일시중단,235,미아10-1 주택재개발정비사업,강북구 미아동 476-0,18474.6,,2종일반주거지역,,16180.8,1275.8,,782.0,,,236.0,공동주택,21.02,213.39,43.0,,,376,184.0,149.0,43.0,70,70.0,,,임대주택포함
