사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11620-900000626,관악구,신림동,재개발(주택정비형),조합,신림1재정비촉진구역 재개발정비사업조합,신림동 808-,조합설립인가,운영,1460,신림1재정비촉진구역 주택재개발정비사업,관악구 신림동 808-495,233729.0,394003.03,일반주거지역 준주거 자연녹지 등,,172404.0,33748.0,16178.0,787.0,,,10612.0,공동주택 등,60.0,230.0,,33.0,4.0,2465,386.0,1485.0,594.0,505,202.0,202.0,101.0,
11620-900001081,관악구,신림동,재개발(주택정비형),공공지원자,신림7구역 재개발정비사업,신림동 675,정비구역지정,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11620-100001000,관악구,봉천동,재개발(주택정비형),추진위원회,봉천 제13구역 주택재개발정비사업 조합설립추진위원회,봉천동 913-1,조합설립추진위원회승인,운영,197,봉천제13구역 공공재개발정비사업,관악구 봉천동 913번지,12272.5,40138.16,제3종일반주거지역,중심미관지구,,,,,,,,아파트 판매시설 근린생활시설,46.04,283.1,67.0,2.0,2.0,192,,34.0,158.0,0,,,,
11620-100003009,관악구,봉천동,재개발(주택정비형),조합,봉천제4-1-2구역 주택재개발정비사업 조합,봉천동 101,착공신고,운영,715,봉천 제4-1-2구역 주택재개발정비사업조합,관악구 봉천5-9동 산101번지,55512.8,132512.3,제3종 일반주거지역,해당사항없음,33512.6,7547.3,10042.9,,,,6725.7,아파트부대복리시설,23.15,288.08,83.0,28.0,3.0,833,388.0,445.0,,164,67.0,65.0,32.0,
11620-100004000,관악구,신림동,재개발(주택정비형),조합,신림3재정비촉진구역 주택재개발정비사업조합,신림동 316-55,일반분양승인,운영,274,신림3재정비촉진구역,관악구 신림동 316-55,35136.4,79157.74,제1종제2종(7층)일반주거지역자연녹지지역,,22463.3,4078.5,7295.3,,,,1299.3,공동주택 및 부대복리시설,23.25,233.7,,17.0,4.0,473,225.0,248.0,,98,42.0,42.0,14.0,
11620-100003007,관악구,봉천동,재개발(주택정비형),조합청산,봉천제12-2구역 주택재개발정비사업조합,봉천동 1553-1,조합청산,운영,765,봉천제12-2구역 주택재개발구역,관악구 봉천동 1553-1번지,80836.0,221254.84,1 2 3종 일반주거지역,,60689.0,19413.8,76.0,477.2,,,1427.46,공동주택(아파트) 부대복리시설,24.68,244.85,57.0,20.0,3.0,1237,312.0,827.0,98.0,247,178.0,56.0,13.0,
11620-900000021,관악구,봉천동,재개발(주택정비형),조합,봉천제14구역 재개발정비사업조합,봉천동 1,조합설립인가,운영,668,봉천제14구역 재개발정비사업,봉천3동 4-51번지 일원,74264.5,148486.0, 제3종일반주거지역,,58782.2,9079.7,5134.1,,1268.5,,,공동주택 등,23.46,270.83,884.0,27.0,4.0,1311,643.0,560.0,108.0,260,95.0,85.0,80.0,1571세대
11620-100003010,관악구,봉천동,재개발(주택정비형),조합,봉천4-1-3구역 주택재개발정비사업조합,봉천동 480,사업시행인가,운영,493,관악구 봉천동 4-1-3구역 주택재개발 정비사업,관악구 봉천동 480번지,79832.0,160576.78,제2종 일반주거지역(7층) 제3종 일반주거지역,,35303.1,948.8,,3999.8,,,985.0,공동주택 및 부대복리시설 등,27.36,259.53,83.0,28.0,3.0,694,314.0,274.0,106.0,161,46.0,81.0,34.0,
11620-100004002,관악구,신림동,재개발(주택정비형),조합,신림2재정비촉진구역 재개발정비사업조합,신림동 324-25,철거신고,운영,714,신림2재정비촉진구역 주택재개발정비사업조합 ,관악구 신림동 324-25번지 ,95797.5,138338.55,제2종주거일반지역 자연녹지지역,재정비촉진지구,58241.2,5434.8,22977.5,1105.7,397.5,,7978.9,공동주택,25.16,248.71,7955.0,28.0,7.0,1252,811.0,357.0,84.0,183,57.0,,126.0,
11620-100003008,관악구,봉천동,재개발(주택정비형),조합,봉천 제12-1구역 주택재개발 정비사업조합,봉천동 1544-1,조합해산,운영,416,봉천 제12-1구역 주택재개발 정비사업조합,관악구 청룡동(봉천8동) 1544-1호,28259.0,,제2종일반주거지역,제2종일반주거지역,23387.8,2012.8,2858.4,0.0,0.0,0.0,,공동주택(아파트),23.62,220.9,52.0,,,430,102.0,276.0,52.0,89,89.0,,,
11620-900001262,관악구,신림동,재개발(주택정비형),공공지원자,신림5구역 재개발정비사업,신림동 412,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
