사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11590-100002005,동작구,흑석동,재개발(주택정비형),조합,흑석9재정비촉진구역 조합,흑석동 90,관리처분인가,운영,759,흑석9재정비촉진구역,동작구 흑석동 90번지,94579.2,187957.58,일반주거지역,,743.04,63.73,153.68,,5.27,,,공동주택,19.0,235.0,,,,1255,267.0,748.0,240.0,215,90.0,90.0,35.0,
11590-100002004,동작구,흑석동,재개발(주택정비형),조합,흑석1재정비촉진구역 재개발정비사업조합,흑석동 43-7,조합설립인가,운영,381,흑석1재정비촉진구역,동작구 흑석동 43-7번지 ,26675.0,82260.2,제1종일반 제2종일반(7층) 제2종 일반 제3종 일반,,18165.0,6122.0,2388.0,,,,,공동주택및주민공동시설,39.1,294.17,,30.0,2.0,392,202.0,102.0,88.0,82,36.0,36.0,10.0,
11590-100001000,동작구,노량진동,재개발(주택정비형),조합,노량진3재정비촉진구역 조합,노량진동 232-19,사업시행인가,운영,586,노량진 제3재정비촉진구역,동작구 노량진동 232-19번지,73300.0,108105.29,제3종일반주거지역,재정비촉진구역,44300.0,3242.0,13697.0,,,12061.0,,아파트,24.34,244.03,,,,838,198.0,443.0,197.0,174,80.0,74.0,20.0,
11590-100002008,동작구,흑석동,재개발(주택정비형),조합,흑석7재정비촉진구역 조합,흑석동 158,조합해산,운영,502,흑석7재정비촉진구역 주택재개발정비사업조합,158번지,74378.0,159213.07,제1종2종3종 일반주거지역,재정비촉진지구,5464.8,10199.4,4493.2,2269.6,1362.5,0.0,726.2,공동주택 및 부대복리시설,30.09,205.19,7995.0,28.0,3.0,911,151.0,716.0,44.0,168,70.0,76.0,22.0,
11590-100005006,동작구,노량진동,재개발(주택정비형),조합,노량진4재정비촉진구역 조합,노량진동 227-5,관리처분인가,운영,417,노량진촉진4구역,노량진227-5,40512.5,137273.18,제1종 일반주거지역 제2종 일반주거지역(혼재),,31540.8,5554.7,1508.0,,,,1909.0,공동주택 및 부대복리시설,22.82,247.48,90.0,30.0,5.0,699,338.0,361.0,,145,58.0,64.0,23.0,
11590-100010000,동작구,대방동,재개발(주택정비형),조합,노량진7재정비촉진구역 조합,대방동 13-31,관리처분인가,운영,376,노량진7재정비촉진구역,동작구 대방동 13-31번지,33613.0,,,,22478.0,2533.5,6887.6,,890.4,365.0,,공동주택,20.96,228.97,,,,420,82.0,268.0,70.0,90,44.0,36.0,10.0,
11590-100001001,동작구,노량진동,재개발(주택정비형),조합,노량진1재정비촉진구역 조합,노량진동 278-2,사업시행인가,운영,1081,노량진1재정비촉진구역,동작구 노량진동278-4번지,132132.0,471972.52,제3종 일반 주거지역,재정비촉진지구,106125.0,10237.0,9000.0,,,,6770.0,공동주택 및 부대시설,25.88,265.67,110.0,33.0,4.0,2461,1322.0,1041.0,98.0,531,214.0,180.0,137.0,
11590-100002006,동작구,흑석동,재개발(주택정비형),조합,흑석3재정비촉진구역 주택재개발정비사업조합,흑석동 253-89,착공신고,운영,1042,흑석3재정비 촉진구역,흑석동253-89번지 외 808필지,103497.4,168683.95,제12종 일반주거지역,,77410.3,16179.4,9549.4,,4245.9,358.3,1283.0,공동주택,23.67,244.77,572.0,20.0,5.0,1130,542.0,552.0,36.0,338,156.0,136.0,46.0,
11590-100009000,동작구,대방동,재개발(주택정비형),조합,노량진8재정비촉진구역 조합,대방동 44-1,관리처분인가,운영,437,노량진8 재정비촉진구역 주택재개발정비사업조합,동작구 대방동 23-61번지,55742.9,154331.84,2종일반주거지역 2종일반주거(7층이하),-,42080.9,11424.0,0.0,0.0,1453.0,785.0,,공동주택,20.08,229.44,300.0,29.0,3.0,1007,497.0,462.0,48.0,172,80.0,70.0,22.0,0
11590-100002009,동작구,흑석동,재개발(주택정비형),조합,흑석8재정비촉진구역 조합,흑석동 232,조합해산,운영,209,흑석8재정비촉진구역 주택재개발정비사업조합,동작구 흑석동 232번지,33310.0,,2종일반주거지역,,27290.0,4337.0,1683.0,,,,,공동주택 및 부대복리시설,21.0,218.0,,25.0,2.0,434,166.0,150.0,118.0,74,38.0,28.0,8.0,
