사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11440-100005000,마포구,아현동,재개발(주택정비형),조합,아현3구역 주택재개발정비사업 조합(뉴타운),아현동 635,조합해산,운영,0,아현 제3구역 주택재개발정비사업,마포구 아현동 635번지,207508.3,5824773.86,제2종 일반주거지역,주택재개발구역,146506.7,254019.0,1335.71,52416.51,3184.3,3197.6,361.3,"공동주택,근생 및 사회복지시설,종교시설,정비기반시설등",22.63,259.42,95.0,30.0,4.0,3209,1239.0,1455.0,515.0,658,327.0,331.0,,
11440-100005004,마포구,염리동,재개발(주택정비형),조합,염리제3구역주택재개발정비사업조합(뉴타운),염리동 507,조합해산,운영,1105,염리제3 주택재개발정비사업,마포구 염리동 507번지 일원,87952.2,878.4,제2종 일반주거지역,,63954.7,13579.7,5014.4,,2713.2,,2690.2,공동주택,20.16,250.28,77.0,27.0,3.0,1386,606.0,762.0,18.0,285,122.0,115.0,48.0,
11440-900001094,마포구,공덕동,재개발(주택정비형),공공지원자,공덕7구역 주택정비형 재개발사업,공덕동 115-97,정비구역지정,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11440-900000801,마포구,염리동,재개발(주택정비형),공공지원자,염리동 488-14번지 일대 정비계획 수립 및 정비구역 지정 진행 지역,염리동 488-14,정비계획 수립,운영,647,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11440-100006006,마포구,아현동,재개발(주택정비형),조합,아현제4 주택재개발정비사업 조합,아현동 380,준공인가,운영,863,아현제4구역주택재개발정비사업조합,마포구 아현동 380번지,64357.7,,제2종일반주거지역,,53686.7,6568.4,3247.0,,179.6,676.0,,,22.53,227.81,,,,949,271.0,477.0,201.0,201,201.0,,,
11440-100005001,마포구,염리동,재개발(주택정비형),조합,염리2구역 주택재개발정비사업 조합(뉴타운),염리동 45,조합해산,운영,509,염리제2주택재개발구역,마포구 염리동 45번지,51748.3,148603.41,제2종일반주거지역,,37197.2,7821.3,2824.8,,,1491.0,2414.0,공동주택,21.21,244.1,71.0,25.0,4.0,767,306.0,449.0,12.0,160,80.0,64.0,16.0,
11440-900000735,마포구,도화동,재개발(주택정비형),조합,마포로1구역 제10지구 도시정비형 재개발사업 조합,도화동 536,조합설립인가,운영,162,마포로1구역 제10지구 도시정비형 재개발사업 ,마포구 도화동 536,3280.5,44403.7,일반상업지역,주상복합지구,3280.5,76.5,,,,,,비주거,51.36,869.84,23.0,23.0,7.0,100,,,100.0,0,,,,
11440-100004008,마포구,공덕동,재개발(주택정비형),조합,공덕제6주택재개발정비사업조합,공덕동 119,조합설립인가,운영,60,공덕 제6주택재개발정비구역,마포구 공덕동 119번지,11301.4,26569.94,제2종일반주거지역,,10830.4,471.0,,,,,,공동주택 및 부대복리시설,24.88,234.17,,20.0,3.0,155,90.0,65.0,,11,,6.0,5.0,
11440-900001076,마포구,공덕동,재개발(주택정비형),공공지원자,공덕동 11-24 주택정비형 재개발사업,공덕동 11-24,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11440-100006009,마포구,염리동,재개발(주택정비형),추진위원회,염리5구역 주택재개발 조합설립추진위원회(뉴타운),염리동 105,조합설립추진위원회승인,일시중단,574,염리5구역 주택재개발정비사업 조합설립추진위원회,마포구 염리동 105  ,81426.0,187796.73,제3종일반주거지역,대흥로변 일반미관지구,57164.0,16439.0,5823.0,,2000.0,,,공동주택,25.06,239.95,75.0,,,1041,439.0,435.0,167.0,178,76.0,76.0,26.0,
