사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11410-100006002,서대문구,홍제동,재개발(주택정비형),조합,홍제제3구역주택재개발정비사업조합,홍제동 270,이전고시,운영,609,홍제제3주택재개발정비사업,홍제동 270번지,5837.54,189877.66,제2종일반주거지역,,46200.4,6437.0,2922.0,656.0,,,,공동주택,21.92,,238.0,20.0,3.0,948,353.0,555.0,40.0,168,76.0,75.0,17.0,
11410-100005002,서대문구,영천동,재개발(주택정비형),조합,영천구역주택재개발정비사업조합,영천동 69-20,착공신고,운영,115,영천 주택재개발 정비사업,영천동 69-20번지,11154.2,55400.68,,,6744.9,3077.1,,,1322.2,,,공공주택 및 판매시설,40.56,399.31,76.0,23.0,5.0,199,71.0,126.0,2.0,0,,,,
11410-100007006,서대문구,북아현동,재개발(주택정비형),조합청산,북아현 1 - 2 재정비촉진구역 주택재개발 정비사업조합,북아현동 174,조합청산,운영,474,북아현 1-2 재정비촉진구역 주택재개발 정비사업,서대문구 북아현동 174번지,60335.5,147946.26,제2종일반주거지역,북아현재정비촉진지구,38086.6,7906.0,7993.5,3182.9,0.0,0.0,3166.5,공동주택/부대복리시설,27.34,244.62,62.0,20.0,5.0,777,231.0,452.0,94.0,163,163.0,,,
11410-100007013,서대문구,북아현동,재개발(주택정비형),조합,북아현 1-3 재정비촉진구역 주택재개발 정비사업조합,북아현동 149,조합해산,운영,951,북아현1-3재정비촉진구역주택재개발정비사업조합,북아현동 149번지,106645.8,327030.37,북아현1구역,북아현1-3,70482.5,19416.8,11208.6,896.3,2959.4,10.3,1671.9,공동주택(아파트)근생/판매시설 부대복리시설,26.73,283.42,106.0,34.0,5.0,1584,497.0,1043.0,44.0,326,156.0,131.0,39.0,
11410-100008007,서대문구,북아현동,재개발(주택정비형),조합,북아현 3 재정비촉진구역 주택재개발 정비사업조합,북아현동 3-66,사업시행인가,운영,2536,북아현3 재정비촉진구역 주택재개발 정비사업조합,서대문구 북아현동 3-66번지,263100.0,619750.57,제2종일반주거지역,도시재정비촉진지구,180952.6,33481.6,36611.1,10.0,7476.0,139.0,4444.0,공공주택 및 부대복리시설,16.28,233.15,103.0,35.0,6.0,3015,534.0,1831.0,650.0,618,273.0,265.0,80.0,
11410-100008003,서대문구,북아현동,재개발(주택정비형),조합,북아현 2 재정비촉진구역 주택재개발 정비사업조합,북아현동 520,사업시행인가,운영,1261,북아현2재정비촉진구역,서대문구 북아현동 520번지,120055.8,301044.27,2종일반주거지역준주거,재개발지구,83709.4,12209.2,3919.1,5361.3,241.1,8930.0,2983.0,공동주택(아파트)및부대복리시설,18.28,241.64,103.0,35.0,3.0,1422,150.0,688.0,584.0,292,132.0,124.0,36.0,
11410-100003003,서대문구,홍은동,재개발(주택정비형),조합,홍은제13구역 주택재개발정비사업조합,홍은동 11-111,착공신고,운영,385,홍은제13구역 주택재개발정비사업조합,홍은동 11-111번지 일대,36220.0,110158.0,제2종일반주거지역(7층)제3종일반주거지역,주택재개발지역,36220.0,6988.0,2394.0,0.0,367.0,0.0,1253.0,아파트및근린생활시설,29.0,196.0,45.0,15.0,3.0,827,590.0,56.0,181.0,131,64.0,53.0,14.0,
11410-100003002,서대문구,홍은동,재개발(주택정비형),조합,홍은제14구역주택재개발정비사업조합,홍은동 19-19,조합해산,운영,269,홍은제14구역 주택재개발정비사업조합,서대문구 홍은동 19-19번지,229.34,73994.22,제2종일반주거지역,-,18560.0,2983.0,1391.0,,,,,공동주택및부대복리시설,29.7,246.97,61.0,21.0,3.0,497,226.0,252.0,19.0,75,33.0,32.0,10.0,
11410-100006001,서대문구,연희동,재개발(주택정비형),조합,연희제1구역 주택재개발정비사업조합,연희동 533,철거신고,운영,521,연희제1구역 주택재개발정비사업,서대문구 연희동 533번지,55173.0,146775.0,도시지역 제2종일반주거지역,해당없음,37722.0,9850.0,3258.0,1036.0,0.0,0.0,3307.0,공동주택(아파트) 및 부대복리시설,21.92,246.72,5755.0,20.0,3.0,1002,530.0,468.0,4.0,206,80.0,90.0,36.0,임대포함
11410-900001218,서대문구,연희동,재개발(주택정비형),추진위원회,연희2구역 공공재개발사업,연희동 721-6,조합설립추진위원회승인,운영,0,연희2구역 주택정비형 공공재개발사업,서대문구 연희동 721-6,49745.0,104476.84,제1종 제2종 일반주거지역,,44263.4,1054.2,4427.4,,,,,공동주택,21.19,238.34,75.0,27.0,2.0,844,311.0,445.0,88.0,223,34.0,,189.0,
