사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11200-900001110,성동구,마장동,재개발(주택정비형),공공지원자,마장동382번지 일대 재개발정비사업,마장동 382,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11200-100001002,성동구,금호동,재개발(주택정비형),조합,금호제14-1구역 주택재개발정비사업조합,금호동4가 480,조합해산,운영,72,금호제14-1구역 주택재개발정비사업조합,성동구 금호동4가 480번지,5127.2,15039.47,제2종일반주거지역 / 대공방어협조구역,,4029.4,872.2,225.6,,,,,공동주택(아파트),24.67,233.74,,16.0,3.0,108,78.0,30.0,,0,,,,
11200-100002007,성동구,금호동,재개발(주택정비형),조합,금호제16구역주택재개발정비사업조합,금호동2가 501-31,관리처분인가,운영,365,금호제16재개발정비구역,성동구 금호동2가 501-31,27485.0,88619.35,제2종일반주거지역,행정기관 위탁고도 120m지역,22703.0,2077.0,2407.0,180.0,118.0,,,아파트,23.96,236.89,4692.0,16.0,8.0,475,171.0,304.0,,120,120.0,,,
11200-100002015,성동구,하왕십리동,재개발(주택정비형),조합,왕십리뉴타운 제3구역 주택재개발정비사업조합,하왕십리동 700,조합해산,운영,913,왕십리뉴타운제3구역 주택재개발사업,성동구 하왕십리동 700번지,136892.8,,"제3종일반주거지역, 일반상업지역","중심지미관지구, 일반미관지구",108489.3,9898.5,3000.0,3845.0,580.0,11080.0,,"공동주택, 상업시설",35.21,311.81,99.0,28.0,5.0,2101,439.0,1243.0,419.0,359,161.0,156.0,42.0,임대포함
11200-100002005,성동구,하왕십리동,재개발(주택정비형),조합,하왕제1-5구역주택재개발정비사업조합,하왕십리동 999,조합해산,운영,377,하왕 제1-5구역주택재개발 정비사업,성동구 하왕십리동 999번지외 323필지,32989.59,98398.05,제2종 일반주거,일반미관,26534.5,3636.89,1519.2,653.0,,,646.0,공동주택,17.5,227.22,6000.0,20.0,3.0,587,436.0,151.0,,126,75.0,51.0,,
11200-900001086,성동구,금호동,재개발(주택정비형),조합,금호21구역 주택재개발정비사업,금호동3가 1,조합설립인가,운영,860,금호 제21 주택정비 재개발구역,성동구 금호동3가 1번지,75447.0,17913.9,제2종일반주거지역(7층이하) 제2종일반주거지역 제3종일반주거지역,,51487.2,15875.8,6737.0,1347.0,,,737.1,공동주택,28.42,255.06,59.0,20.0,4.0,1219,601.0,494.0,124.0,220,65.0,103.0,52.0,
11200-900000045,성동구,성수동,재개발(주택정비형),조합,성수전략정비구역 제4지구 주택재개발정비사업조합,성수동2가 219-4,조합설립인가,운영,753,성수전략정비구역 제4지구,성동구 성수동2가 219-4번지,89828.0,217309.08,"제2종(7층이하), 제3종일반주거지역, 자연녹지지역","역사문화미관지구, 일반미관지구",56270.0,18678.0,10584.0,3496.0,,,,공동주택,20.96,314.98,150.0,50.0,,1310,415.0,580.0,315.0,269,98.0,,171.0,
11200-100002010,성동구,성수동,재개발(주택정비형),조합,성수전략정비구역 제2지구 주택재개발정비사업조합,성수동2가 506,조합설립인가,운영,1092,성수전략정비구역 제2지구 주택재개발정비구역,성동구 성수동2가 506번지,131980.0,273966.9,제2종일반주거지역(7층)제3종일반주거지역,,68176.0,22207.0,30200.0,,1342.0,,10055.0,공동주택,17.63,317.01,150.0,50.0,,1582,376.0,825.0,381.0,325,118.0,,207.0,
11200-900000044,성동구,성수동,재개발(주택정비형),조합,성수전략정비구역제3지구주택재개발정비사업조합,성수동2가 572-7,조합설립인가,운영,960,성수전략정비구역 제3지구,성동구 성수동2가 572-7번지,114193.0,,일반주거지역,"미관지구,방화지구",65005.0,28171.0,16768.0,,4199.0,,,공동주택,18.35,316.78,150.0,,,1537,367.0,800.0,370.0,315,34.0,78.0,203.0,
11200-100001001,성동구,행당동,재개발(주택정비형),조합,행당제7구역 주택재개발정비사업조합,행당동 128,일반분양승인,운영,536,행당제7구역주택재개발사업,성동구행당1동128번지,48345.3,121304.0,제1.2종주거지역,,33316.2,4131.0,10374.0,,,,,공동주택및 부대복리시설,20.87,249.64,,35.0,3.0,805,343.0,396.0,66.0,141,58.0,68.0,15.0,임대포함
