사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11290-100001000,성북구,돈암동,재개발(주택정비형),조합청산,돈암?정릉구역 주택재개발정비사업 조합,돈암동 535-54,조합청산,운영,342,돈암정릉구역 주택재개발 정비사업,성북구 돈암동 535번지,30588.0,103248.48,주거지역,제2종일반주거지역,25549.0,194.5,,2933.0,,,,제2종일반주거지역,24.84,238.0,,,,61854,63.0,43429.0,18362.0,90,45.0,30.0,15.0,
11290-100003003,성북구,보문동,재개발(주택정비형),조합청산,보문제3구역 주택재개발정비사업조합,보문동6가 207,조합청산,운영,592,보문제3구역주택재개발정비사업조합`,보문동 6가 207번지,52245.8,1666541.09,일반주거지역,제2종,43150.8,3103.0,5091.0,,901.0,,,공동주택(아파트),21.36,237.46,,20.0,7.0,978,486.0,492.0,,208,100.0,87.0,21.0,
11290-100007003,성북구,보문동,재개발(주택정비형),조합,보문제5구역 주택재개발정비사업조합,보문동1가 196-11,착공신고,운영,156,보문제5구역 주택재개발정비사업,성북구 보문동1가 196-11번지,10798.5,65273.1,준주거지역,,,,,,,,,아파트 및 판매시설,55.62,292.67,,26.0,5.0,186,,149.0,37.0,0,,,,
11290-100009002,성북구,삼선동,재개발(주택정비형),조합,삼선제5구역 주택재개발정비사업조합,삼선동2가 296,일반분양승인,운영,419,삼선제5주택재개발정비사업,성북구 삼선동2가 296번지 ,63918.5,174294.29,제2종일반주거지역,,48086.8,9861.1,3670.0,,,2300.6,49139.4,공동주택및복리시설,25.87,230.29,51.0,18.0,4.0,1015,731.0,284.0,,208,119.0,89.0,,
11290-100016004,성북구,장위동,재개발(주택정비형),조합,장위14구역 주택재개발정비사업조합,장위동 233-552,조합설립인가,운영,1427,장위14구역 주택재개발정비사업조합,성북구 장위동 233-552번지,145174.6,392654.68,제1종 제2종 일반주거지역,재정비촉진지구,106512.0,21359.0,7442.3,0.0,1212.0,0.0,10104.6,공동주택 및 부대복리시설,21.58,211.59,71.0,25.0,7.0,2000,767.0,1139.0,94.0,439,189.0,203.0,47.0,
11290-100016013,성북구,장위동,재개발(주택정비형),추진위원회,장위3구역 주택재개발정비사업 조합,장위동 350,조합설립추진위원회승인,운영,392,장위3구역주택재개발정비사업조합,성북구 장위동 305일대,66011.0,159270.59,서울시 성북구 장위동 305번지 일대,제2종 일반주거지역,52651.0,4009.0,8321.0,0.0,10.0,0.0,0.0,2종일반주거지역,14.44,229.94,88.0,29.0,2.0,473,32.0,432.0,9.0,184,84.0,79.0,21.0,건축면적은 전용면적으로 대치
11290-100007001,성북구,보문동,재개발(주택정비형),조합,보문제2구역 주택재개발정비사업조합,보문동1가 60-28,준공인가,운영,237,보문제2구역 주택재개발정비사업 ,성북구26길 13-9(보문동1가),17837.0,61497.89,도시지역,제2종일반주거지역,15026.0,1790.0,1021.0,,,,,일반주거,24.35,246.57,65.0,18.0,2.0,395,327.0,68.0,,70,70.0,,,
11290-100011002,성북구,동선동,재개발(주택정비형),조합,동선제2구역 주택재개발정비사업조합,동선동4가 304-2,관리처분인가,운영,166,동선2구역주택재개발정비사업,동선동 304-2,15608.2,49120.83,제2종일반주거지역 / 일반상업지역,,,2154.9,,,708.7,,,아파트,24.57,23.33,53.0,19.0,3.0,277,130.0,147.0,,57,25.0,24.0,8.0,
11290-900000159,성북구,성북동,재개발(주택정비형),조합,성북제2구역 주택재개발정비사업 조합,성북동 226-,사업시행인가,운영,361,성북제2구역주택재개발정비사업,성북동 226-103번지,75072.8,37918.07,제1종 전용주거지역 자연녹지지역,자연경관지구,62469.9,7847.7,4458.9,,296.3,,,공동주택 및 부대복리시설,35.9,89.13,14.0,4.0,3.0,195,61.0,134.0,,0,,,,단독주택 별도
11290-900000097,성북구,돈암동,재개발(주택정비형),조합,돈암6구역 주택재개발정비사업조합,돈암동 48-29,조합설립인가,운영,527,돈암제6 주택재개발정비구역,성북구 돈암동 48-29,47050.0,127865.64,제1종 및 제3종일반주거지역,중심미관지구일반미관지구,35244.0,9453.0,2353.0,,,,,공동주택,23.57,265.18,73.0,25.0,2.0,737,245.0,364.0,128.0,152,73.0,62.0,17.0,
11290-100004001,성북구,성북동,재개발(주택정비형),조합,성북1구역 공공재개발 정비사업 주민대표회의,성북동 179-68,조합설립인가,운영,1192,성북제1구역주택재개발정비사업조합설립추지위원회,성북1동 179-68번지,127899.0,338500.8,"1종,2종일반주거지역",자연경관지구,106566.0,7516.0,4875.0,4659.0,4283.0,0.0,0.0,공동주택,27.0,221.04,,13.0,2.0,2044,551.0,1164.0,329.0,348,348.0,,,
