사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11470-900001214,양천구,신월동,재개발(주택정비형),조합,신월7동 2구역 주택정비형 공공재개발사업,신월동 941,조합설립인가,운영,0,신월7동 2구역 주택정비형 공공재개발사업,양천구 신월동 941-0,98295.17,286767.0, 제1종 일반주거지역 제2종 일반주거지역(7층이하),,73539.55,7814.22,12706.35,,1600.0,2635.05,,공동주택 및 부대복리시설,,249.71,66.0,12.0,2.0,1684,1281.0,403.0,,544,348.0,30.0,166.0,권리자분양 포함
11470-100001015,양천구,신정동,재개발(주택정비형),조합,신정2재정비촉진구역 1지구 주택재개발정비사업조합,신정동 1175-28,조합해산,운영,559,신정2재정비촉진구역1지구 주택재개발정비사업조합,양천구 신정동 1175-28,87327.2,243473.09,도시지역 제1종일반주거지역 제2종일반주거지역,,61206.0,14058.8,788.7,2245.2,7442.3,,1283.3,공동주택,22.37,257.55,70.0,27.0,3.0,1285,376.0,668.0,241.0,0,,,,
11470-100001016,양천구,신정동,재개발(주택정비형),조합,신정2재정비촉진구역2지구 주택재개발정비사업조합,신정동 1150-41,이전고시,운영,195,신정2-2지구 재정비촉진구역,양천구 신정동 1150-41,19599.5,60683.22,제2종 일반주거지역,재정비촉진지구,16249.4,6.3,2690.8,,,,653.0,공동주택,21.31,234.41,,19.0,3.0,336,109.0,227.0,,71,25.0,41.0,5.0,
11470-100001017,양천구,신정동,재개발(주택정비형),조합,신정제4구역 주택재개발정비사업조합,신정동 1033-1,조합해산,운영,464,신정제4구역주택재개발정비사업,양천구 신정동 1033-1번지 일대,54683.5,170225.73,2종 일반 주거 지역,,44012.3,6589.4,3997.9,83.9,,,,공동주택,22.99,252.36,68.0,22.0,2.0,896,162.0,577.0,157.0,185,92.0,73.0,20.0,
11470-100001012,양천구,신월동,재개발(주택정비형),조합,신정1재정비촉진구역3지구 주택재개발정비사업 조합,신월동 606,사업시행인가,운영,138,신정재정비촉진지구 제1구역 3지구 주택재개발 정비사업,양천구 신월동 606-0,11363.8,29411.9,23종일반주거지역,고도지구(공항고도지구원추표면),25678.62,2906.6,821.4,,276.8,,260.2,공동주택(아파트),20.9,253.88,56.0,20.0,2.0,175,38.0,137.0,,36,18.0,18.0,,
11470-100001014,양천구,신월동,재개발(주택정비형),조합,신정1재정비촉진구역1지구 주택재개발정비사업 조합,신월동 551-10,준공인가,운영,1761,신월신정뉴타운제1구역1지구 주택재개발정비사업조합,신월6동 551 번지일대,174801.0,408078.23,제2종일반주거지역 ,재정비촉진지구,111940.6,24547.6,12573.2,,4934.7,12854.1,7949.12,공동주택/부대복리시설,22.06,236.35,65.0,,,2417,730.0,1393.0,294.0,415,178.0,167.0,70.0,
11470-900001210,양천구,목동,재개발(주택정비형),공공지원자,목2동 232번지 일대 주택정비형 재개발사업조합,목동 232,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11470-900001108,양천구,신정동,재개발(주택정비형),공공지원자,신월7동 1구역 주택재개발정비사업조합,신정동 913,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11470-900001147,양천구,신정동,재개발(주택정비형),조합,신정동 1152번지 일대 주택정비형 재개발사업,신정동 1152-1,조합설립인가,운영,0,신정동 1152번지 일대 주택정비형 재개발사업,양천구 신정동 1152-1,44082.8,,제1종일반주거지역 / 제2종일반주거(7층이하)지역,해당없음,40507.8,139.3,3435.7,,,,,공동주택 및 부대복리시설,60.0,212.78,84.0,15.0,,956,406.0,466.0,84.0,121,48.0,36.0,37.0,
11470-100001013,양천구,신월동,재개발(주택정비형),조합,신정1재정비촉진구역4지구 주택재개발정비사업 조합,신월동 612,이전고시,일시중단,758,신월.신정뉴타운제1구역4지구주택재개발정비사업조합,양천구 신월2동 612-13번지,50978.0,,제2종 일반주거지역,,40725.9,4800.7,3001.3,,,,2419.6,"아파트 및 부대복리시설,근린생활시설",20.13,234.93,57.0,,,93000,35900.0,47600.0,9500.0,160,160.0,,,
11470-100001011,양천구,신월동,재개발(주택정비형),조합,신정1재정비촉진구역2지구 주택재개발정비사업 조합,신월동 603-3,이전고시,일시중단,280,신정1재정비촉진구역 1-2지구 재정비촉진사업,양천구 신월2동 603-3호,17152.0,55831.22,2종 일반 주거지역,공항고도지구,15555.4,1596.6,,,,,,공동주택 및 근린생활시설,18.59,229.95,58.0,20.0,2.0,357,82.0,242.0,33.0,61,61.0,,,임대주택 61세대 포함
11470-100001010,양천구,신월동,재개발(주택정비형),추진위원회,신월1구역 주택재개발정비사업 조합설립추진위원회,신월동 159-192,조합설립추진위원회승인,일시중단,793,신월1구역,양천구 신월동 159-192,92546.13,236011.77,"제1종일반주거지역, 제2종일반주거지역(7층이하) 제2종 일반주거지역, 준주거지역",공항고도지구,74172.3,12366.13,4640.0,,,,,공동주택 및 부대복리시설,34.45,207.09,,13.0,2.0,1400,537.0,557.0,306.0,240,99.0,108.0,33.0,
