사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11560-100003008,영등포구,신길동,재개발(주택정비형),조합,신길5재정비촉진구역 주택재개발정비사업조합,신길동 1583-1,조합해산,운영,567,신길5재정비촉진구역,영등포구 신길동 1583-1번지,76602.0,233508.68,제2종일반주거지역,재정비촉진지구,62866.2,6622.9,3606.1,2844.5,,,662.3,아파트 및 부대복리시설,19.49,264.1,94.0,29.0,2.0,1260,364.0,789.0,107.0,286,132.0,119.0,35.0,
11560-100004029,영등포구,도림동,재개발(주택정비형),조합청산,도림제16구역 주택재개발정비사업조합,도림동 162-94,조합청산,운영,420,영등포구 도림 제16 주택재개발정비구역,영등포구 도림동 162-94,53378.0,1370052.81,3종일반주거지역,준공업지역,53378.0,2937.0,1857.0,1963.0,36366.0,0.0,10255.0,공동주택,15.28,247.41,31.0,30.0,3.0,689,56.0,519.0,114.0,147,60.0,60.0,27.0,
11560-100004036,영등포구,신길동,재개발(주택정비형),조합,신길제2구역 주택재개발정비사업조합,신길동 190,조합설립인가,운영,888,신길제2구역,영등포구 신길동 190-0,116898.0,471.47,3종일반 주거지역,,92.63,15357.0,9156.0,,2523.0,,,공동주택,16.6,299.88,110.0,35.0,4.0,2105,878.0,1021.0,206.0,681,129.0,129.0,423.0,
11560-100003010,영등포구,신길동,재개발(주택정비형),조합청산,신길11재정비촉진구역 주택재개발정비사업조합,신길동 329-94,조합청산,운영,302,신길11재정비촉진구역주택재개발정비사업조합,영등포구 신길동329-94외 522필지,50759.3,134054.78,제2종일반주거지역. 근린상업지역,일반미관지구,39762.6,6158.0,1929.8,608.6,,,2300.0,공동주택(아파트)및부대복리시설,17.69,228.9,77.0,25.0,3.0,836,252.0,335.0,249.0,151,61.0,71.0,19.0,
11560-900000036,영등포구,신길동,재개발(주택정비형),조합청산,신길7재정비촉진구역 주택재개발정비사업 조합,신길동 2039,조합청산,운영,758,신길7재정비촉진구역,영등포구 신길동 1993외950필지,93728.5,259940.09,제2종일반주거지역,,8220.36,6664.4,1223.4,3604.1,,9999.2,,공동주택,17.18,239.58,7790.0,27.0,3.0,1391,333.0,662.0,396.0,130,55.0,54.0,21.0,
11560-100003015,영등포구,신길동,재개발(주택정비형),조합,신길14재정비촉진구역 주택재개발정비사업 조합,신길동 347-50,조합해산,운영,239,신길14재정비촉진구역 주택재개발정비사업 ,영등포구 신길동 347-50,27844.0,84690.31,제2종 일반주거지역,학교환경위생정화구역 등,22841.8,2049.6,1732.9,1062.5,157.2,0.0,,공동주택 및 부대복리시설,21.22,255.66,7977.0,28.0,2.0,501,261.0,240.0,,111,45.0,48.0,18.0,
11560-100003011,영등포구,신길동,재개발(주택정비형),조합,신길12재정비촉진구역 주택재개발정비사업조합,신길동 337-246,조합해산,운영,431,신길12재정비촉진구역 주택재개발정비사업조합,영등포구 신길동 337-246번지,52716.0,144744.29,2종 일반주거지역,,40878.7,5754.5,2906.8,3113.1,26.9,0.0,6813.83,공동주택,22.01,263.12,82.0,29.0,3.0,824,424.0,395.0,5.0,184,84.0,76.0,24.0,
11560-100003019,영등포구,신길동,재개발(주택정비형),조합청산,신길8재정비촉진구역 주택재개발정비사업조합,신길동 3163,조합청산,운영,319,신길8 재정비촉진구역 주택재개발정비사업,영등포구 신길동 3163번지,32287.3,95907.63,제2종제3종 일반주거지역,,25632.0,1707.0,3478.0,1469.9,0.0,0.0,0.0,공동주택 및 부대복리시설,18.76,254.45,769.0,27.0,3.0,522,145.0,363.0,14.0,119,57.0,50.0,12.0,
11560-100003016,영등포구,신길동,재개발(주택정비형),조합청산,신길3재정비촉진구역 주택재개발정비사업조합,신길동 145-40,조합청산,운영,283,신길3재정비촉진구역주택재개발정비사업,영등포구 신길동 145-40번지,38502.9,119571.99,제2종/제3종 일반주거지역,재정비촉진지구,30779.9,247.7,4029.6,3445.7,0.0,0.0,0.0,공동주택 및 부대시설,20.64,251.11,92.0,32.0,3.0,644,265.0,351.0,28.0,147,72.0,59.0,16.0,
11560-100003012,영등포구,신길동,재개발(주택정비형),조합청산,신길9재정비촉진구역 주택재개발정비사업 조합,신길동 240-16,조합청산,운영,561,신길9재정비촉진구역 주택재개발정비사업조합,영등포구 신길동 240-16번지,73698.6,,제2종일반주거지역,재정비촉진지구,53782.4,4095.6,14027.5,1912.4,,,,공동주택 및 부대복리시설,15.03,234.87,85.0,29.0,2.0,915,136.0,450.0,329.0,210,105.0,105.0,,
