사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11170-900000100,용산구,한남동,재개발(주택정비형),조합,한남 제3재정비촉진구역 주택재개발정비사업 조합,한남동 686,관리처분인가,운영,3887,한남 제3재정비촉진구역,용산구 한남동 686-0,393729.0,,"제1종일반주거지역,제2종일반주거지역(7층),제3종일반주거지역,준주거지역",,109455.0,39299.0,46506.0,9946.0,1125.0,8753.0,3826.0,주상복합 및 공동주택,60.0,235.0,95.0,29.0,,4778,2005.0,1834.0,939.0,979,402.0,402.0,175.0,
11170-900000102,용산구,동빙고동,재개발(주택정비형),조합,한남5재정비촉진구역 주택재개발정비사업 조합,동빙고동 60,조합설립인가,운영,1562,한남 제5재정비촉진구역,용산구 동빙고동 60-0,183707.0,,제1종일반주거지역제2종일반주거지역(7층)제3종일반주거지역준주거지역,,54409.0,17632.0,1913.0,20038.0,9860.0,3176.0,1790.0,주상복합 및 공동주택,60.0,223.0,170.0,50.0,,1956,569.0,565.0,822.0,403,170.0,168.0,65.0,
11170-900000973,용산구,청파동,재개발(주택정비형),공공지원자,청파제2구역주택재개발정비사업,청파동1가 89-18,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11170-100003006,용산구,청파동,재개발(주택정비형),조합,청파제1구역 재개발정비사업조합,청파동2가 11-1,조합설립인가,운영,460,청파제1구역 재개발정비사업조합,용산구 청파동2가 11-1번지,32390.4,112533.03,제2종 일반주거지역(7층이하) 제3종 일반주거지역,,26549.6,3060.3,,,,,2667.3,공동주택 및 부대복리시설,25.72,249.86,80.0,25.0,3.0,581,310.0,183.0,88.0,116,93.0,19.0,4.0,
11170-900000101,용산구,보광동,재개발(주택정비형),조합,한남4재정비촉진구역 주택재개발정비사업 조합,보광동 360,조합설립인가,운영,1207,한남4재정비촉진구역주택재개발정비사업조합설립추진위원회,용산구 보광동 360-0,160258.0,535877.18,제1종일반주거지역제2종일반주거지역(7층)제3종일반주거지역준주거지역,미관지구,115341.0,29763.0,8128.0,0.0,6540.0,0.0,486.0,아파트/부대복리시설,30.89,226.98,73.0,22.0,7.0,1981,664.0,616.0,701.0,350,117.0,172.0,61.0,
11170-900001144,용산구,서계동,재개발(주택정비형),공공지원자,서계동 33번지 일대 신속통합기획 주택재개발,서계동 33-1,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11170-100004000,용산구,효창동,재개발(주택정비형),조합청산,효창제4구역 주택재개발 정비사업조합,효창동 117-1,조합청산,운영,106,효창제4구역주택재개발정비사업,용산구 효창동 117-1호,10030.0,,제2종 일반주거지역,중심지미관지구,8796.6,692.5,479.1,61.8,,,,공동주택 및 부대복리시설,22.87,234.84,55.0,18.0,2.0,187,71.0,82.0,34.0,0,,,,
11170-100003005,용산구,효창동,재개발(주택정비형),조합,효창제6구역주택재개발정비사업조합,효창동 3-250,조합해산,운영,263,효창제6구역,용산구 효창동 3-250번지,18256.56,54761.36,제2종일반주거지역,,15451.56,1026.0,917.0,,862.0,,,철근콘크리트벽시구조,31.14,214.01,42.0,14.0,3.0,327,,327.0,,58,24.0,28.0,6.0,
11170-100004003,용산구,효창동,재개발(주택정비형),조합청산,효창제5구역 주택재개발정비사업조합,효창동 13-2,조합청산,운영,217,효창5구역 주택재개발정비사업 조합,용산구 효창동 13-2외258필지,22911.5,70299.75,공동주택 7개동 478세대제2종일반주거지역,제2종 일반주거지역 중심지미관지구,18216.5,2172.1,2522.9,,,,,,20.84,245.28,66.0,22.0,4.0,396,178.0,206.0,12.0,82,39.0,33.0,10.0,
11170-900000099,용산구,보광동,재개발(주택정비형),조합,한남2재정비촉진구역 주택재개발정비사업 조합,보광동 272-3,사업시행인가,운영,929,한남 제2재정비촉진구역,용산구 보광동 272-3,114580.6,161889.03,도시지역 제2종일반주거지역(7층이하),재정비촉진지구,83758.9,19008.8,3192.6,2801.0,5819.3,0.0,0.0,공동주택 및 부대복리시설 근리생활시설,32.14,195.42,45.0,14.0,6.0,1299,424.0,629.0,246.0,238,97.0,137.0,4.0,
