사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11380-100000037,은평구,응암동,재개발(주택정비형),조합청산,응암제10구역주택재개발정비사업조합,응암동 419,조합청산,운영,679,응암제10주택재개발구역,은평구 응암동 419-0,61052.6,173574.69,제3종일반주거지역,일부 일반미관지구,47233.6,8196.8,4144.8,,,,1477.4,공동주택(아파트),15.35,255.86,80.0,25.0,3.0,1079,532.0,499.0,48.0,226,80.0,104.0,42.0,
11380-100001049,은평구,녹번동,재개발(주택정비형),조합청산,녹번제1구역3지구주택재개발정비사업조합,녹번동 4,조합청산,운영,702,녹번제1구역3지구 주택재개발정비사업,은평구 녹번동 4번지,74820.0,193700.39,"자연녹지지역, 1종/2종일반주거지역",일반미관지구,58209.0,2880.0,6406.0,,,6521.0,804.0,"분양아파트 및 임대아파트, 근린생활시설",23.88,223.62,0.0,20.0,4.0,1075,172.0,728.0,175.0,155,65.0,72.0,18.0,
11380-100001048,은평구,녹번동,재개발(주택정비형),조합,녹번제1구역제2지구 주택재개발정비사업조합,녹번동 19,조합해산,운영,805,녹번제1구역제2지구 주택재개발정비사업조합,은평구 녹번동 19번지,66094.0,192164.0,공동주택 및 부대복리시설,,54310.0,5953.0,5831.0,,,,,공동주택,25.92,238.15,59.0,20.0,3.0,1047,331.0,704.0,12.0,258,119.0,101.0,38.0,임대포함
11380-100001068,은평구,수색동,재개발(주택정비형),조합,수색13재정비촉진구역 주택재개발정비사업 조합,수색동 341-6,일반분양승인,운영,792,수색13재정비촉진구역(주택재개발사업),수색동 341-6번지,69727.0,211065.62,2종(7층 12층)일반주거지역,항공기지구역(비행안전구역),55397.0,6534.0,2256.0,2594.0,,,2946.0,공동주택 및 부대복리시설,21.88,231.86,65.0,20.0,4.0,1402,801.0,353.0,248.0,278,108.0,89.0,81.0,임대 포함
11380-100001045,은평구,대조동,재개발(주택정비형),조합,대조제1구역주택재개발정비사업조합,대조동 88,착공신고,운영,1573,대조제1구역 주택재개발정비사업조합,은평구 대조동 88번지 등 ,111665.3,363149.67,일반주거지역,제2종,92088.1,12220.3,7356.9,,,,,,24.83,243.48,75.0,25.0,4.0,2083,985.0,561.0,537.0,368,171.0,165.0,32.0,
11380-100001053,은평구,응암동,재개발(주택정비형),조합청산,응암제11구역 주택재개발정비사업조합,응암동 455,조합청산,운영,141,응암제11구역주택재개발정비구역,은평구 응암동 455-0,36242.8,36242.8,제2종 일반주거지역,,29162.6,3785.1,3295.1,,,,,공동주택 및 부대복리시설,30.0,214.71,68.0,24.0,4.0,646,299.0,345.0,2.0,114,52.0,50.0,12.0,
11380-100001036,은평구,불광동,재개발(주택정비형),조합,불광제5 주택재개발정비사업 조합,불광동 238,관리처분인가,운영,1486,불광5주택재개발정비구역,은평구 불광동 238 244 272번지,117939.0,386176.26,제2종 일반주거지역,중심지미관지구,99420.0,6833.0,8881.0,,2805.0,,,공동주택 및 부대복리시설,19.6,235.01,68.0,24.0,3.0,2013,937.0,975.0,101.0,374,180.0,111.0,83.0,
11380-900000142,은평구,증산동,재개발(주택정비형),조합,증산5재정비촉진구역 주택재개발정비사업 조합,증산동 195-,관리처분인가,운영,975,증산5 재정비 촉진구역 주택 재개발 정비 사업,은평구 증산동 195번지,112573.0,265583.95,"제 2종(7,2)일반주거지역, 제3종 일반주거지역",일반미관지구,71157.0,16244.0,1996.0,9988.0,583.0,12605.0,,공동주택,24.96,263.7,92.0,30.0,3.0,1412,274.0,774.0,364.0,292,117.0,117.0,58.0,
11380-100001065,은평구,수색동,재개발(주택정비형),조합,수색8재정비촉진구역 주택재개발 정비사업조합,수색동 16-2,관리처분인가,운영,329,수색 8구역 주택재개발 정비사업조합,수색동 16-2번지,29884000.0,833.35,제2종 일반주거지역,,29884.0,9512.0,,,,,,주택 및 근생,24.0,263.89,64.0,,,479,170.0,309.0,,99,40.0,40.0,19.0,
11380-100001033,은평구,불광동,재개발(주택정비형),조합청산,불광제3구역주택재개발정비사업조합,불광동 17,조합청산,운영,1018,불광제3구역주택재개발정비사업조합,은평구 불광동 17번지 일대,77298.0,201877.98,제2종일반주거지역,주택재개발정비사업지구,58598.0,3367.0,7936.0,,184.0,5120.0,2093.0,주택(아파트),23.3,214.42,46.0,15.0,3.0,1185,554.0,518.0,113.0,147,147.0,,,
